date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
44530,21.1,15.5,26.5,,,,7,,1010.3,
44531,19.7,16.5,26.5,,,,9.5,,1014.9,
44532,21.3,17.4,25.7,,,,10.3,,1016.2,
44533,22,18.7,26.4,,,,10.2,,1015.8,
44534,22,19.8,26,,,,8.5,,1018.8,
44535,21.7,19.4,26.1,0.5,,,12.2,,1019.9,
44536,22.4,17.6,27.7,,,,9.7,,1021.1,
44537,24.1,20.6,28.7,,,,11.9,,1019.7,
44538,23.7,19.3,28.7,,,,12,,1018.2,
44539,23.2,20.3,28.7,,,,14.8,,1017.2,
44540,22.8,20.5,26.1,,,,9.2,,1013.2,
44541,24.5,19.3,30,,,,8.3,,1006.4,
44542,25.4,22.8,30,4,,,7.5,,1004.4,
44543,24.4,20.5,30.2,,,,9,,1011.9,
44544,23.9,20,28.7,,,,13.3,,1014.4,
44545,23,19.1,28.2,8,,,7.8,,1014.3,
44546,21.4,16.7,28.2,,,,14.3,,1016.3,
44547,23,19.3,27.3,,,,9.9,,1018.3,
44548,24.2,20.4,28.2,,,,10.2,,1016.7,
44549,25.6,21.2,30,,,,9.5,,1012.7,
44550,25.9,20.9,31.2,,,,12.7,,1011.5,
44551,25.2,23,31.2,,,,9.9,,1009.1,
44552,25.9,21.5,30.1,,,,8,,1013.3,
44553,25.8,22.6,30.1,,,,7.8,,1015.8,
44554,28.2,23.1,33.8,,,,14,,1010.3,
44555,26.4,21.4,33.8,4.1,,,9.1,,1009.7,
44556,26.8,19.3,32.8,,,,5.4,,1012,
44557,26.2,21.8,33.2,,,,6.6,,1010.1,
44558,29.1,23.9,35.1,,,,7.5,,1010.6,
44559,32.1,26.5,37.2,,,,14.8,,1009.9,
44560,30.9,26.4,37.2,,,,9.2,,1008.3,
44561,28.1,22,36,,,,8.7,,1006.5,
44562,24.9,21.1,33.5,8,,,7,,1003.9,
44563,26.6,19.7,32.7,,,,5.5,,1004.9,
44564,29.7,24.3,35.7,,,,9.4,,1006.7,
44565,28.8,22.4,35.8,,,,14.6,,1005.8,
44566,21.9,16,32,,,,19.2,,1015.4,
44567,23.4,19.1,29.3,,,,11.6,,1016.4,
44568,24.8,21,29.3,,,,11.4,,1016,
44569,25.3,22.4,29.7,,,,13.4,,1015.4,
44570,26,21.8,31.5,,,,12.8,,1014.5,
44571,29,23.9,34.2,,,,8.8,,1011.6,
44572,32.9,26.2,40.9,,,,5.9,,1008.7,
44573,27.8,21.8,41.1,,,,10.2,,1013.6,
44574,29.4,24,36.5,,,,10.7,,1012.4,
44575,32.7,26.2,41.2,,,,10.4,,1009.2,
44576,33.5,29.8,41.5,,,,10.2,,1006.3,
44577,27.3,22.2,38.8,42,,,7,,1003.2,
44578,24.8,21,33,2.1,,,9.9,,1007.7,
44579,23.3,21.5,28,9.9,,,11.4,,1014.6,
44580,23.9,21.3,27.7,15,,,9.3,,1015.7,
44581,26.1,22.8,29.7,0.4,,,9.4,,1013.6,
44582,27,24.4,30.4,0,,,10.1,,1008.5,
44583,24.9,21.8,30.5,3,,,9.9,,1007.6,
44584,23.6,20.7,28.6,16,,,4,,1010.3,
44585,26,20.9,30.5,,,,3.7,,1010.9,
44586,27.4,24.1,31.3,0.7,,,5.2,,1009.1,
44587,25.6,18.2,31.4,4,,,12.7,,1010.3,
44588,19.4,13.9,28.3,0.5,,,13.1,,1020.2,
44589,20.6,14.7,25.2,,,,6.1,,1016.9,
44590,24.4,20,28.6,,,,9.9,,1013.1,
44591,26.1,22.2,29.5,,,,10.9,,1008.9,
44592,24.2,17.9,29.5,,,,11,,1010.8,
44593,23.5,18.8,28.3,,,,11.3,,1011.8,
44594,27.1,20.6,32.7,,,,8.6,,1010.3,
44595,24.2,20.4,33,5,,,6,,1009.6,
44596,23.9,20.1,28.6,,,,5.1,,1007.8,
44597,21.2,17.5,28.6,3.8,,,8.5,,1008.6,
44598,18.5,13.5,23.5,0.5,,,11.5,,1015,
44599,20.4,15.2,25,,,,9.1,,1017.9,
44600,21.1,15.1,25.5,,,,5.8,,1017.3,
44601,23.4,19.5,28.5,,,,8.9,,1014.1,
44602,25.1,20.7,30.5,,,,9.1,,1009.9,
44603,23.6,16.8,30.8,,,,9.9,,1012.9,
44604,18,13.9,29,13,,,13.5,,1018.5,
44605,19.7,11,28.2,,,,5.4,,1014.1,
44606,24.7,16.5,32,,,,5.8,,1010.9,
44607,27.1,21.7,32.5,,,,9.7,,1012.1,
44608,29.1,23.5,36.1,,,,8.9,,1011.9,
44609,22.3,17.8,36.5,,,,13.3,,1016.3,
44610,21.6,15.3,27.2,,,,8.9,,1013.4,
44611,24.8,21.2,29.9,,,,8,,1008.9,
44612,21.8,19.3,30.2,8.7,,,10.6,,1007.4,
44613,22.6,18,27.5,0.8,,,7.8,,1014,
44614,22.6,18,27.9,,,,5.7,,1017.7,
44615,22.6,18.4,27.8,,,,9.4,,1015.4,
44616,22.4,20.6,26.6,12,,,10.6,,1010.9,
44617,23.4,16.2,29.2,,,,5.1,,1014.7,
44618,24.6,20.4,29.5,0.2,,,8.1,,1012,
44619,23.4,22,26.8,60.2,,,8.3,,1007,
44620,23.8,19.7,29.5,,,,7,,1010.4,
44621,21.6,14.6,29.7,,,,10.4,,1013.2,
44622,24.9,19.3,31.2,,,,8.2,,1010,
44623,23.9,20,31.5,,,,11.4,,1012.7,
44624,24.5,21.7,28.1,,,,5.5,,1010.4,
44625,24.3,21.5,28.3,,,,5.1,,1009.3,
